method_name	method_col	method_pch	organism	threshold	TPR	L1
featureCounts-flat	featureCounts-flat	complete	Human	0.05	0.69	(n = 20410, n.ds = 1000)
featureCounts-flat, incomplete	featureCounts-flat	incomplete	Human	0.05	0.68	(n = 20410, n.ds = 1000)
featureCounts-exon	featureCounts-exon	complete	Human	0.05	0.611	(n = 20410, n.ds = 1000)
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Human	0.05	0.598	(n = 20410, n.ds = 1000)
casper	casper	complete	Human	0.05	0.403	(n = 20410, n.ds = 1000)
casper, incomplete	casper	incomplete	Human	0.05	0.422	(n = 20410, n.ds = 1000)
MISO	MISO	complete	Human	0.05	0.71	(n = 20410, n.ds = 1000)
MISO, incomplete	MISO	incomplete	Human	0.05	0.655	(n = 20410, n.ds = 1000)
SplicingGraph	SplicingGraph	complete	Human	0.05	0.675	(n = 20410, n.ds = 1000)
SplicingGraph, incomplete	SplicingGraph	incomplete	Human	0.05	0.643	(n = 20410, n.ds = 1000)
TopHat-junctions	TopHat-junctions	complete	Human	0.05	0.652	(n = 20410, n.ds = 1000)
TopHat-junctions, incomplete	TopHat-junctions	incomplete	Human	0.05	0.6	(n = 20410, n.ds = 1000)
kallisto	kallisto	complete	Human	0.05	0.704	(n = 20410, n.ds = 1000)
kallisto, incomplete	kallisto	incomplete	Human	0.05	0.632	(n = 20410, n.ds = 1000)
DEXSeq-default	DEXSeq-default	complete	Human	0.1	0.63	(n = 20410, n.ds = 1000)
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.1	0.629	(n = 20410, n.ds = 1000)
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.1	0.709	(n = 20410, n.ds = 1000)
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Human	0.1	0.694	(n = 20410, n.ds = 1000)
featureCounts-flat	featureCounts-flat	complete	Human	0.1	0.714	(n = 20410, n.ds = 1000)
featureCounts-flat, incomplete	featureCounts-flat	incomplete	Human	0.1	0.699	(n = 20410, n.ds = 1000)
featureCounts-exon	featureCounts-exon	complete	Human	0.1	0.629	(n = 20410, n.ds = 1000)
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Human	0.1	0.615	(n = 20410, n.ds = 1000)
casper	casper	complete	Human	0.1	0.42	(n = 20410, n.ds = 1000)
casper, incomplete	casper	incomplete	Human	0.1	0.44	(n = 20410, n.ds = 1000)
MISO	MISO	complete	Human	0.1	0.735	(n = 20410, n.ds = 1000)
MISO, incomplete	MISO	incomplete	Human	0.1	0.689	(n = 20410, n.ds = 1000)
SplicingGraph	SplicingGraph	complete	Human	0.1	0.697	(n = 20410, n.ds = 1000)
SplicingGraph, incomplete	SplicingGraph	incomplete	Human	0.1	0.666	(n = 20410, n.ds = 1000)
TopHat-junctions	TopHat-junctions	complete	Human	0.1	0.687	(n = 20410, n.ds = 1000)
TopHat-junctions, incomplete	TopHat-junctions	incomplete	Human	0.1	0.628	(n = 20410, n.ds = 1000)
kallisto	kallisto	complete	Human	0.1	0.727	(n = 20410, n.ds = 1000)
kallisto, incomplete	kallisto	incomplete	Human	0.1	0.653	(n = 20410, n.ds = 1000)
